word	nodeType	unit	synset
shocking	ADJ	lovecraftSentences	9
greyish	ADJ	lovecraftSentences	1
withered	ADJ	lovecraftSentences	4
brittle	ADJ	lovecraftSentences	4
archaic	ADJ	lovecraftSentences	2
great	ADJ	lovecraftSentences	7
bare	ADJ	lovecraftSentences	13
grey	ADJ	lovecraftSentences	13
subtle	ADJ	lovecraftSentences	3
alive	ADJ	lovecraftSentences	7
weak	ADJ	lovecraftSentences	12
conscious	ADJ	lovecraftSentences	3
able	ADJ	lovecraftSentences	4
simple	ADJ	lovecraftSentences	9
cold	ADJ	lovecraftSentences	16
more	ADJ	lovecraftSentences	5
cavernous	ADJ	lovecraftSentences	2
unlit	ADJ	lovecraftSentences	2
empty	ADJ	lovecraftSentences	10
extra	ADJ	lovecraftSentences	7
comfortable	ADJ	lovecraftSentences	5
stout	ADJ	lovecraftSentences	5
last	ADJ	lovecraftSentences	21
hapless	ADJ	lovecraftSentences	1
more	ADJ	lovecraftSentences	5
clear	ADJ	lovecraftSentences	45
clouded	ADJ	lovecraftSentences	12
sudden	ADJ	lovecraftSentences	1
mad	ADJ	lovecraftSentences	4
surprised	ADJ	lovecraftSentences	4
poor	ADJ	lovecraftSentences	7
harmless	ADJ	lovecraftSentences	1
close	ADJ	lovecraftSentences	37
various	ADJ	lovecraftSentences	4
third	ADJ	lovecraftSentences	8
right	ADJ	lovecraftSentences	36
fumbling	ADJ	lovecraftSentences	6
low	ADJ	lovecraftSentences	16
white	ADJ	lovecraftSentences	25
dark	ADJ	lovecraftSentences	16
small	ADJ	lovecraftSentences	13
crude	ADJ	lovecraftSentences	7
wooden	ADJ	lovecraftSentences	2
planked	ADJ	lovecraftSentences	3
breathable	ADJ	lovecraftSentences	0
dark	ADJ	lovecraftSentences	16
momentary	ADJ	lovecraftSentences	1
second	ADJ	lovecraftSentences	15
hateful	ADJ	lovecraftSentences	2
strange	ADJ	lovecraftSentences	3
present	ADJ	lovecraftSentences	18
morbid	ADJ	lovecraftSentences	3
